类型,说明,参数列表
"空","AI任务节点",
"并行节点","逻辑上是“同时”并行的执行所有子节点（但实际也是从上往下依次执行）,
当子节点执行状态既不满足失败条件，也不满足成功条件，且无Running
状态子节点时，并行节点将直接返回Failure
参数说明:
1.失败条件:决定并行节点在什么条件下是失败的,
	如果没有配置的话默认失败条件为:所有子节点失败算失败
2.成功条件:决定并行节点在什么条件下是成功的,
	如果没有配置的话默认成功条件为:有一个子节点成功就算成功
3.子节点结束继续条件：子节点结束后是重新再循环执行，还是结束后不再执行
4.子节点1...",1-失败条件|BattleAIConcurrentNodeFailOpt,2-成功条件|BattleAIConcurrentNodeSuccessOpt,3-子节点结束后是否继续-1:继续,4-子节点|SkillEffectConfig
"顺序执行节点","顺序执行节点
参数说明:
1.失败条件-返回失败(条件节点),不配置的话默认有任意一个子节点失败就返回失败
2.成功条件-返回成功(条件节点),不配置的话默认所有子节点成功才返回成功
3.子节点...",1-失败条件|SkillConditionConfig,2-成功条件|SkillConditionConfig,3-子节点|SkillEffectConfig
"循环节点","重复执行节点
节点只会返回成功状态,当循环没结束时一直是堵塞的该节点会重复执行子节点，
按照子节点的顺序从上到下依次执行无论子节点的失败还是成功，当最后一个
子节点执行完毕后，从头开始接着执行
参数说明：
1.中断条件(条件节点)
2.循环次数
3.子节点...",1-中断条件|SkillConditionConfig,2-循环次数（-1:无限次数）,3-子节点|SkillEffectConfig
"条件执行节点","条件执行节点:根据条件执行一个子节点行为,如果条件为true，等子节点执行完毕后返回成功状态，反之返回失败状态
参数说明：
1.条件(条件节点)
2.条件为真的行为(技能节点)
3.条件为假的行为(技能节点)",1-条件|SkillConditionConfig,2-条件为真的行为|SkillEffectConfig,3-条件为假的行为|SkillEffectConfig
"堵塞节点","阻塞行为节点:参数4的行为会立即执行
参数说明：
1.返回成功条件(条件节点) 条件达成->节点状态为成功
2.返回失败条件(条件节点) 条件达成->节点状态为失败
3.超时返回成功状态（帧数）（不填的话默认值是0,即该参数无效）
4.行为(技能节点)，该节点会立即执行
参数1和参数2如果的条件返回如果都是false那么节点处于堵塞中
（如果有配置3的参数，那么会在等待时长结束后将节点置为成功状态）...",1-成功的状态条件|SkillConditionConfig,2-失败状态的条件|SkillConditionConfig,3-超时返回成功状态(帧数),4-立即执行|SkillEffectConfig
"条件状态节点","条件状态节点，当得到的条件配置返回true时节点返回成功否则返回失败
参数说明：
1.条件配置(技能节点)，返回true或者false",1-条件配置|SkillConditionConfig
"延迟节点","延迟状态节点：延迟一段时间后执行子节点，等子节点执行完毕后转为成功状态
参数说明：
1.延迟时间（帧数)
2.子节点，该节点会在延迟时间到达后再执行",1-延迟时间(帧数),2-子节点-延迟后再执行|SkillEffectConfig
"AISwitch分支节点","Switch分支节点：模拟程序的switch,以子节点的返回状态为当前节点的返回状态,如果子节点一直堵塞那么当前节点也是一直堵塞
	1.Switch选择值
	2.Default子节点(未匹配任意Case时执行)
	3.Case匹配值1
	4.Case子节点1
	...
	n.Case匹配值n
	n+1.Case子节点n",1-Switch选择值,2-Default子节点(未匹配任意Case时执行当前子节点)|SkillEffectConfig,3-Case匹配值{0},4-Case子节点{0}|SkillEffectConfig
"选择监测节点","选择监测节点：子节点只能是条件状态节点，按顺序执行子节点,子节点成功则返回成功
	1.是否重置子节点（暂不生效，默认重置）
	2.子节点（仅限监测分支节点）",1-是否重置子节点（默认重置，暂不支持修改）,2-子节点-条件状态节点|AITaskNodeConfig
"总是成功节点","总是成功节点：不管子节点状态，都返回成功状态
	1.子节点",1-子节点|AITaskNodeConfig
"总是失败节点","总是失败节点：不管子节点状态，都返回失败状态
	1.子节点",1-子节点|AITaskNodeConfig
"总是运行节点","总是运行节点：不管子节点状态，都返回运行状态
	1.子节点",1-子节点|AITaskNodeConfig
"监测分支节点","监测分支节点：只能作为选择监测节点的子节点，返回结果依赖条件节点
	1.条件节点（技能节点）
	2.子节点",1-条件配置|SkillConditionConfig,2-子节点|SkillEffectConfig
"选择执行节点","selector节点将会按照顺序依次执行其子节点，
当执行到任意子节点成功时，返回成功不再执行下面的子节点，否则继续往下执行子节点直到最后返回失败结果",1-子节点|SkillEffectConfig
